Script started on Mon 18 Aug 2014 03:34:19 AM EDT
MERII2014/cs5300/Final/housedataattHopfieldScript.txto|uperls-peo's/\e([^\[\]]|\[.*?[a-zA-Z]|\].*?\a)//g' | col db/home/chronosage/Documents/Dropbox/SCHOOL/SUMMERII2014/cs5300/Final/housedatapython3 backpropFromGod.py
python3 backpropFromGod.py
0.049814851542 [ 0.04973181]
0.0244172493077 [ 0.01711892]
0.0224998364241 [ 0.01412226]
0.0215474655161 [ 0.01361433]
0.0206619620555 [ 0.01805648]
0.0207140966903 [ 0.01711442]
0.0207392406661 [ 0.01626023]
0.0205829075924 [ 0.0168383]
0.0205717739547 [ 0.01639129]
0.0198936585649 [ 0.01656252]
0.0197652185419 [ 0.01652824]
0.020050762282 [ 0.0154166]
0.0202348026482 [ 0.01545863]
0.0197155126216 [ 0.01537173]
0.0203405135817 [ 0.02860078]
0.0196415646703 [ 0.01565403]
0.0198655374712 [ 0.01547768]
0.0195440843244 [ 0.01560167]
0.019678344809 [ 0.01513124]
0.0196939559536 [ 0.01509951]
0.0200976316436 [ 0.01649639]
0.0198142144574 [ 0.01479419]
0.0195802174416 [ 0.0157987]
0.0193458711606 [ 0.01512772]
0.0195560960889 [ 0.02510259]
0.0197014970664 [ 0.01505519]
0.0197154170878 [ 0.0166523]
0.0196967971503 [ 0.01522287]
0.0197660507386 [ 0.01631402]
0.0197655691432 [ 0.01482668]
0.0195819580675 [ 0.01502396]
0.0193770705161 [ 0.01712416]
0.0198108237722 [ 0.01457629]
0.0195775573952 [ 0.01559266]
0.019485341944 [ 0.01708223]
0.0194708622613 [ 0.01611575]
0.019459321398 [ 0.01878889]
0.0191538519863 [ 0.01501651]
0.0196117105248 [ 0.01490507]
0.0193272714463 [ 0.01495959]
0.0194118003069 [ 0.01459254]
0.0196011442742 [ 0.01679925]
0.0196211394238 [ 0.02081937]
0.0193895967259 [ 0.01527327]
0.0189713774688 [ 0.01594662]
0.0194857725318 [ 0.01678057]
0.0192328804601 [ 0.01761058]
0.0196184879443 [ 0.01544343]
0.0190842606439 [ 0.01735543]
0.0193579205013 [ 0.01481441]
0.0191602769499 [ 0.01479872]
0.0190669646016 [ 0.01473694]
0.0193038535623 [ 0.02288414]
0.0189999405809 [ 0.0149849]
0.0192567185838 [ 0.01462807]
0.0189565385922 [ 0.01744793]
0.0192038046162 [ 0.01455003]
0.0187256623119 [ 0.01786249]
0.0195936126082 [ 0.0156469]
0.0192117690773 [ 0.01451647]
0.0188614476926 [ 0.01504579]
0.0194581527541 [ 0.01491062]
0.0195163363079 [ 0.01809313]
0.0189779086947 [ 0.0173332]
0.0192622971806 [ 0.01432376]
0.0190919309358 [ 0.01482906]
0.019137786881 [ 0.01745543]
0.0194388371383 [ 0.01718271]
0.0187601337241 [ 0.0168342]
0.0184943339529 [ 0.01492505]
0.0190283355183 [ 0.01501785]
0.0189919710153 [ 0.01458003]
0.0191472126065 [ 0.0147512]
